elf_code,country_code,entity_legal_form
W3WH,BE,Association sans but lucratif
WTLP,BE,Société civile sous forme de société coopérative àresponsabilité illimitée
X8ZK,BE,Société coopérative à responsabilité limitée dedroit public
XLEO,BE,Société en commandite simple à finalité sociale
XQZX,BE,Société civile sous forme de société anonyme
Y1Q4,BE,Fondation privée
YBHM,BE,Société coopérative européenne
ZOK2,BE,Société agricole
ZSFX,BE,Société anonyme à finalité sociale
ZUHK,BE,Fondation d'utilité publique
1TX8,BE,Commanditaire vennootschap op aandelen meteen sociaal oogmerk
2QSA,BE,Coöperatieve vennootschap met beperkteaansprakelijkheid met een sociaal oogmerk
36KV,BE,Europese vennootschap (Societas Europaea)
3LMA,BE,Buitenlandse onderneming
3N94,BE,Onderneming-natuurlijk persoon
4E5P,BE,Coöperatieve vennootschap met onbeperkteaansprakelijkheid met een sociaal oogmerk
7SJP,BE,Europees economisch samenwerkingsverband
8E2A,BE,Coöperatieve vennootschap met beperkteaansprakelijkheid
8YLB,BE,Instelling zonder winstoogmerk
B910,BE,Vennootschap onder firma met een sociaal oogmerk
C609,BE,Eenpersoons besloten vennootschap met beperkteaansprakelijkheid
CFH5,BE,Vennootschap of vereniging zonderrechtspersoonlijkheid
EDMK,BE,Vereniging zonder winstoogmerk van publiek recht
EXY8,BE,"Coöperatieve vennootschap met onbeperkteaansprakelijkheid, bij wijze van deelneming vanpubliek recht"
J5OU,BE,Economisch samenwerkingsverband
JNAD,BE,Besloten vennootschap met beperkteaansprakelijkheid met een sociaal oogmerk
KLBO,BE,Burgerlijke vennootschap onder vorm vancommanditaire vennootschap op aandelen
KM6O,BE,Maatschap
LWHF,BE,Coöperatieve vennootschap met onbeperkteaansprakelijkheid
LWV6,BE,Gewone commanditaire vennootschap
N5NT,BE,Besloten vennootschap met beperkteaansprakelijkheid
O59C,BE,Economisch samenwerkingsverband met eensociaal oogmerk
O5HQ,BE,Burgerlijke vennootschap onder vorm vancoöperatieve vennootschap met beperkteaansprakelijkheid
PVT3,BE,Eenpersoons besloten vennootschap met beperkteaansprakelijkheid met een sociaal oogmerk
QZIS,BE,Openbare instelling
R85P,BE,Naamloze vennootschap
T922,BE,Burgerlijke vennootschap onder vorm van gewonecommanditaire vennootschap
TPTU,BE,Naamloze vennootschap van publiek recht
U2PN,BE,Commanditaire vennootschap op aandelen
U5KF,BE,Burgerlijke vennootschap onder vorm vanvennootschap onder firma
UCT9,BE,Burgerlijke Vennootschap onder vorm vanLandbouwvennootschap (BV LV)
UW1Y,BE,Vennootschap onder firma
V03J,BE,Internationale vereniging zonder winstoogmerk
V8L7,BE,Burgerlijke vennootschap onder vorm van beslotenvennootschap met beperkte aansprakelijkheid
W3WH,BE,Vereniging zonder winstoogmerk
WTLP,BE,Burgerlijke vennootschap onder vorm vancoöperatieve vennootschap met onbeperkteaansprakelijkheid
X8ZK,BE,Coöperatieve vennootschap met beperkteaansprakelijkheid van publiek recht
XLEO,BE,Gewone commanditaire vennootschap met eensociaal oogmerk
XQZX,BE,Burgerlijke vennootschap onder vorm vannaamloze vennootschap
Y1Q4,BE,Private stichting
YBHM,BE,Europese Coöperatieve Vennootschap
ZOK2,BE,Landbouwvennootschap
ZSFX,BE,Naamloze vennootschap met een sociaal oogmerk
ZUHK,BE,Stichting van openbaar nut
1A0A,BQ,Besloten vennootschap
3Y5C,BQ,Besloten vennootschap naar Nederlands recht
4S4Z,BQ,Commanditaire vennootschap met meerderebeherende vennoten
4ZBE,BQ,Maatschap
51WZ,BQ,Vereniging met beperkte rechtsbevoegdheid
56MU,BQ,Aandeelhouder bestuurde Besloten vennootschap
92JZ,BQ,Stichting
AS4W,BQ,Stichting particulier fonds
