elf_code,country_code,entity_legal_form
8VDW,FR,Société d'assurance à forme mutuelle
8VWR,FR,SA d'économie mixte à conseil d'administration
8WH8,FR,Autre personne morale de droit étranger
8XDK,FR,SA d'aménagement foncier et d'équipement rural(SAFER) à conseil d'administration
94WO,FR,District urbain
97PZ,FR,SARL coopérative d'intérêt maritime
9HC8,FR,Société en participation entre personnes physiques
9KU7,FR,Union de sociétés coopératives agricoles
9N1F,FR,SA d'intérêt collectif agricole (SICA)
9O0S,FR,Association fonciére urbaine
9T5S,FR,Fondation
A0VZ,FR,SCP d'architectes
AHBR,FR,SA à participation ouvriére à directoire
AMFI,FR,Autorité constitutionnelle
B645,FR,SA d'attribution à conseil d'administration
B7I7,FR,SA coopérative artisanale à conseil d'administration
BAK2,FR,Exploitation agricole à responsabilité limitée
BAUQ,FR,SA de crédit immobilier à conseil d'administration
BDDP,FR,SCP d'infirmiers
BEWI,FR,Association déclarée
BRGA,FR,SA immobiliére d'investissement à conseild'administration
BYZF,FR,Paroisse hors zone concordataire
C42J,FR,SARL immobiliére de gestion
C4D7,FR,Ensemble urbain
CAX5,FR,Régime général de la Sécurité Sociale
CBO2,FR,Service du ministére de la Défense
CF56,FR,Mutualité sociale agricole
CNSS,FR,Société en participation de professions libérales
CNXL,FR,Artisan-commerçant
CQJI,FR,Région
CVH6,FR,SARL d'aménagement foncier et d'équipement rural(SAFER)
D2I2,FR,Syndicat intercommunal à vocation multiple(SIVOM)
DEG4,FR,Société en commandite par actions
DRQM,FR,SA coopérative de construction à conseild'administration
DTAX,FR,Autre organisme mutualiste
DWYD,FR,Association déclarée d'insertion par l'économique
DXQH,FR,Société civile fonciére
E0YF,FR,SA coopérative d'intérêt maritime à directoire
E6YB,FR,Caisse (fédérale) de crédit mutuel
EABD,FR,Société civile coopérative entre médecins
EAC8,FR,Société coopérative de production de HLManonyme à directoire
ECUL,FR,Secteur de commune
EVYY,FR,Caisse de crédit maritime mutuel
EYRI,FR,Centre technique industriel ou comitéprofessionnel du développement économique
F0B6,FR,Société en commandite simple coopérative
F6SZ,FR,SA coopérative ouvriére de production (SCOP) àdirectoire
F72Z,FR,Établissement public national à caractére industrielou commercial doté d'un comptable public
F8UD,FR,SCP d'avoués d'appel
F93F,FR,SA immobiliére pour le commerce et l'industrie(SICOMI) à conseil d'administration
FBYB,FR,Représentation ou agence commerciale d'état ouorganisme public étranger immatriculé au RCS
FEEA,FR,Établissement public national ayant fonctiond'administration centrale
FFQL,FR,Commune et commune nouvelle
FKG2,FR,Organisation internationale
FOUY,FR,SCP de commissaires aux comptes
FY0F,FR,Société civile immobiliére
FYBN,FR,SARL mixte d'intérêt agricole (SMIA)
G7Z2,FR,SARL coopérative de construction
G8LP,FR,Sociétés Interprofessionnelles de SoinsAmbulatoires
G98S,FR,Ordre professionnel ou assimilé
GFN6,FR,SA coopérative de commerçants-détaillants àconseil d'administration
GLN8,FR,Centre Intercommunal d'action sociale (CIAS)
GQV4,FR,SA immobiliére pour le commerce et l'industrie(SICOMI) à directoire
GXL6,FR,Autre établissement public national d'enseignement
GZCQ,FR,SCP de greffiers de tribunal de commerce
H1U2,FR,Société en nom collectif
H3Z4,FR,SA coopérative de transport à directoire
H3ZD,FR,SARL d'intérêt collectif agricole (SICA)
H4VR,FR,Société civile coopérative de consommation
HA3N,FR,Caisse de crédit municipal
HATI,FR,Association intermédiaire
HC8N,FR,SARL union de sociétés coopératives
HF2L,FR,"Association de droit local (Bas-Rhin, Haut-Rhin etMoselle)"
HMEI,FR,Autre société civile coopérative
HSYZ,FR,Autre société civile professionnelle
I0MH,FR,Société civile coopérative de construction
I8TE,FR,SA mixte d'intérêt agricole (SMIA)
IAP3,FR,Syndicat intercommunal à vocation unique (SIVU)
IC8G,FR,SCP d'avocats aux conseils
IC98,FR,SCP de commissaires-priseurs
IF7H,FR,SA coopérative de consommation à conseild'administration
IGSV,FR,Société civile laitiére
IQR2,FR,Société civile d'intérêt collectif agricole (SICA)
J9OZ,FR,Société d'exercice libéral à responsabilité limitée
JBIQ,FR,Institution de prévoyance
JFET,FR,Société de Participations Financiéres de ProfessionLibérale Société anonyme à Directoire (SPFPL SA àdirectoire)
JIYK,FR,Syndicat inter hospitalier
JM1W,FR,SCP de dentistes
JMO0,FR,Commission syndicale pour la gestion des biensindivis des communes
JN2P,FR,SARL unipersonnelle
JR7T,FR,SARL nationale
JU82,FR,Ministére
K39X,FR,SA union de sociétés coopératives à conseild'administration
K5KA,FR,Régie d'une collectivité locale à caractére industrielou commercial
K65D,FR,SA à conseil d'administration (s.a.i.)
K69X,FR,SA de crédit immobilier à directoire
K7XQ,FR,Établissement public national à caractérescientifique culturel et professionnel
K99N,FR,Comité d'établissement
KBEQ,FR,Société civile immobiliére d' accession progressive àla propriété
KCN5,FR,"Etablissement public administratif, cercle et foyerdans les armées"
KFR1,FR,Artisan
KMPN,FR,Établissement public national à caractéreadministratif
KQH7,FR,Société civile d'attribution
KS9B,FR,Syndicat patronal
KWI4,FR,SCP de masseurs-kinésithérapeutes
L25Z,FR,Société anonyme mixte d'intérêt agricole (SMIA) àconseil d'administration
L6QO,FR,Régime spécial de Sécurité Sociale
LARO,FR,Société par actions simplifiée à associé unique ousociété par actions simplifiée unipersonnelle
LGME,FR,SA à participation ouvriére à conseild'administration
LU8S,FR,Associé gérant de Société
LUIN,FR,SARL immobiliére pour le commerce et l'industrie(SICOMI)
M1BJ,FR,Société civile de moyens
M673,FR,Société civile d'exploitation agricole
MG2O,FR,Institution interdépartementale ou entente
MMA4,FR,SA union de sociétés coopératives à directoire
MOUL,FR,Assurance mutuelle agricole
MQPZ,FR,Caisse d'épargne et de prévoyance à formecoopérative
MX8J,FR,SA coopérative de commerçants-détaillants àdirectoire
NBA8,FR,Autre établissement public national administratif àcompétence territoriale limitée
NFCV,FR,Association coopérative inscrite (droit local AlsaceMoselle)
NM07,FR,SA immobiliére d'investissement à directoire
NOI8,FR,Communauté d'agglomération
NQCT,FR,(Autre) Établissement public administratif local
NUMY,FR,SA coopérative artisanale à directoire
OAGA,FR,Régime vieillesse ne dépendant pas du régimegénéral de la Sécurité Sociale
OIQA,FR,Autre organisme professionnel
OLJ1,FR,Syndicat mixte fermé
OSLZ,FR,Société coopérative de banque populaire
OWUN,FR,Communauté de communes
P3J5,FR,Centre communal d'action sociale
P714,FR,Association fonciére de remembrement
PESN,FR,Indivision avec personne morale
PL6V,FR,Établissement public local culturel
PWKL,FR,Congrégation
PZLG,FR,Métropole
Q2A1,FR,Société commerciale étrangére immatriculée au RCS
Q634,FR,Indivision entre personnes physiques
Q8E2,FR,Société en nom collectif coopérative
QCWO,FR,Groupement agricole d'exploitation en commun(GAEC)
QU3G,FR,SA coopérative de production de HLM à conseild'administration
QUB4,FR,Organisme consulaire
QV2O,FR,Société d'exercice libéral à forme anonyme àdirectoire
R0B6,FR,Groupement d'intérêt économique (GIE)
R1JO,FR,Communauté urbaine
R59A,FR,Société en commandite par actions coopérative
R6WQ,FR,Groupement de coopération sanitaire à gestionpublique
RD0Z,FR,Fiducie
RFWH,FR,Groupement foncier et rural
RNJZ,FR,Société de Participations Financiéres de ProfessionLibérale Société en commandite par actions (SPFPLSCA)
RNSB,FR,Société étrangére non immatriculée au RCS
RT39,FR,Société créée de fait avec personne morale
RT6Y,FR,Agent commercial
RWMC,FR,Communauté de villes
S0X8,FR,Caisse de crédit agricole mutuel
S82R,FR,Société de Participations Financiéres de ProfessionLibérale Société par actions simplifiée (SPFPL SAS)
SMZ6,FR,Société de Participations Financiéres de ProfessionLibérale Société anonyme à conseild'administration (SPFPL SA à conseild'administration)
SSHN,FR,Régime d'assurance chômage
SWPX,FR,SA coopérative de transport à conseild'administration
SZ63,FR,Service déconcentré de l'État à compétence (inter)régionale
T25Y,FR,SCP d'avocats
TGRE,FR,Caisse des écoles
TNPO,FR,Exploitant agricole
TOL2,FR,SA nationale à directoire
TPNT,FR,Société européenne
TUE5,FR,Office public d'habitation à loyer modéré (OPHLM)
UFM7,FR,SA coopérative de construction à directoire
UHKH,FR,Société de caution mutuelle
UQRY,FR,Ecole nationale non dotée de la personnalité morale
UUT8,FR,SCP de directeurs de laboratoire d'analyse médicale
UV02,FR,Service central d'un ministére
UZY3,FR,Établissement d'hospitalisation
V1Z5,FR,SARL coopérative ouvriére de production (SCOP)
V5SV,FR,Société civile coopérative d'intérêt maritime
V6G1,FR,Régime maladie des non-salariés non agricoles
V9QP,FR,Société à responsabilité limitée (sans autreindication)
VBC7,FR,Institution Banque de France
VBQP,FR,Société d'investissement à capital variable (SICAV) àdirectoire
VD7Z,FR,Société en commandite simple
VJV5,FR,SARL d'économie mixte
VO18,FR,Établissement public local à caractére industriel oucommercial
VTFS,FR,SARL coopérative artisanale
W3LD,FR,Groupement agricole foncier
W4G1,FR,SARL coopérative de transport
WGCY,FR,Groupement d'employeurs
WXNU,FR,SCP d'huissiers
X78I,FR,Société d'investissement à capital variable (SICAV) àconseil d'administration
XH8C,FR,"Association déclarée, reconnue d'utilité publique"
XK4T,FR,Comité central d'entreprise
XPX6,FR,SA coopérative ouvriére de production (SCOP) àconseil d'administration
XQBA,FR,Société en participation avec personne morale
Y1W1,FR,Section de commune
Y4VA,FR,Département
Y7G8,FR,Caisse locale de crédit mutuel
Y8WC,FR,Groupement de coopération sanitaire à gestionprivée
YADL,FR,Autorité administrative indépendante
YHI5,FR,Pôle métropolitain
YJM5,FR,Officier public ou ministériel
YUCL,FR,Institution de retraite complémentaire
YX4E,FR,Société civile de placement collectif immobilier(SCPI)
Z0JP,FR,Établissement public national à caractére industrielou commercial non doté d'un comptable public
Z2FQ,FR,Groupement d'intérêt public (GIP)
Z5WG,FR,Groupement pastoral
Z9K8,FR,Association d'avocats à responsabilitéprofessionnelle individuelle
ZECH,FR,Syndicat mixte ouvert
ZM5P,FR,SA d'économie mixte à directoire
ZPEZ,FR,Association syndicale libre
ZQ9B,FR,Exploitant public
ZQIT,FR,SA coopérative de consommation à directoire
ZXHJ,FR,Société d'exercice libéral à forme anonyme àconseil d'administration
ZZ0X,FR,Établissement public des cultes d'Alsace-Lorraine
13AV,DE,Versicherungsverein auf Gegenseitigkeit
2HBR,DE,Gesellschaft mit beschränkter Haftung
2YZO,DE,Partnerschaftsgesellschaft mit beschränkterBerufshaftung
40DB,DE,Offene Handelsgesellschaft
63KS,DE,Unternehmergesellschaft
6QQB,DE,Aktiengesellschaft
8CM0,DE,Partnerschaftsgesellschaft
8Z6G,DE,Kommanditgesellschaft
JNDX,DE,Europäische wirtschaftliche Interessenvereinigung
OL20,DE,eingetragener Kaufmann
QZ3L,DE,eingetragener Verein
SGST,DE,Europäische Aktiengesellschaft
SUA1,DE,Europäische Genossenschaft
T0YJ,DE,Kommanditgesellschaft auf Aktien
US8E,DE,Genossenschaft
4HD1,GH,Sole Proprietorship
56NA,GH,Private Limited By Share
I0X7,GH,Private Unlimited By Share
J5RC,GH,Private Limited By Guarantee
PH5T,GH,Public Unlimited Company
T69Z,GH,External Company
VBJW,GH,Public Limited Company
W9ZD,GH,Public Limited By Guarantee
WP5I,GH,Partnership
XWPT,GH,Subsidiary Business Name
7U4R,GI,European Economic Interest Groupings
CB98,GI,Foundations
GCCT,GI,Limited Liability Partnerships
M4TI,GI,Societe Europeas
QFLH,GI,Private Limited by Guarantee
TKPE,GI,Private Trust Company
UUYB,GI,Public Limited Company
VJRL,GI,Private Unlimited Company
WBKH,GI,Private Limited Company
Y8CL,GI,Limited Partnerships
3RHO,GR,Naftiki eteria
54AL,GR,Eterórithmi Etería
CQ5X,GR,Εvropaiki Εtaireia
H6OR,GR,Etería Periorisménis Euthínis
HKVP,GR,Astiki (Proswpiki) Eteria
J3VJ,GR,Sinetairismos
JYKN,GR,Lipa'
L6IY,GR,Nomika Prosopa Dimosiou Dikeou
L8D6,GR,Afanis Eteria
MCWR,GR,Kinopraxia
QCA0,GR,Idiotiki kefaleouhiki Eteria
QSYQ,GR,Somatia - Idrimata
TIZ2,GR,Omórithmi Etería
UCU5,GR,Εterorrythmi kata metoches etaireia
VKSR,GR,Simplioktisia
W2NK,GR,Anónimi Etería
9XFK,GG,Foundation
BVOE,GG,Limited Company
Q49K,GG,Limited Liability Partnership
UO3D,GG,Limited Partnertship
254M,HK,Private company limited by shares
85VD,HK,Registered trustee
E1SE,HK,Entity established by Ordinance
EPG7,HK,Public company limited by shares
KSUS,HK,Non-Hong Kong company
N3VO,HK,Public unlimited company with a share capital
S2E3,HK,Company limited by guarantee
UDG6,HK,Private unlimited company with a share capital
XPE5,HK,Limited partnership
254M,HK,Si ren gu fen you xian gong si
85VD,HK,zhu ce shou tuo ren
E1SE,HK,gen ju fa li cheng li de shi yan
EPG7,HK,Gong zhong gu fen you xian gong si
KSUS,HK,fei xiang gang gong si
N3VO,HK,You gu ben de gong zhong wu xian gong si
S2E3,HK,Dan bao you xian gong si
UDG6,HK,You gu ben de si ren wu xian gong si
XPE5,HK,you xian ze ren he huo
4WV7,HU,Egyéb köztestület
876R,HU,Egyéb egyesület
8UEG,HU,nyilvánosan működő részvénytársaság
8VH3,HU,Befektetési alap
995K,HU,Magánnyugdíjpénztár
BKUX,HU,zártkörűen működő részvénytársaság
BMYJ,HU,Egyéb alapítvány
DN6F,HU,Kölcsönös biztosító egyesület
DPY1,HU,Egyéb szövetkezet
EO9F,HU,Részvénytársaság
HTJD,HU,Közhasznú társaság
J6MO,HU,Közkereseti társaság
M1DW,HU,Önkéntes kölcsönös biztosítópénztár
NZAI,HU,Külföldi székhelyű vállalkozás kereskedelmiképviselete
P9F2,HU,Korlátolt felelősségű társaság
S3DA,HU,Betéti társaság
TQ3O,HU,"Egyéb, máshova nem sorolt jogi személyiségűvállalkozás"
TSVO,HU,Szövetség (kivéve sportszövetség)
UD8K,HU,Külföldi székhelyű vállalkozás fióktelepe
X0SX,HU,Takarék- és hitelszövetkezet
XW5U,HU,európai részvénytársaság
Y64R,HU,Országos betétbiztosítási alap
2OJP,IS,Samlagshlutafélag
8T79,IS,Samlagsfélag
CMHQ,IS,Evrópufélag
E4KB,IS,Hlutafélag
M8SS,IS,Einkahlutafélag
2GV9,IE,Irish Collective Asset-management Vehicle
363J,IE,European Economic Interest Grouping
54SK,IE,Friendly Society
5AX8,IE,Designated Activity Company Limited by Guarantee(DAC) – (limited by guarantee)
9BPE,IE,Credit Union
C58S,IE,Company Limited by Guarantee
DWS3,IE,General Partnership
FF1D,IE,Public Unlimited Company that has no share capital
HNJK,IE,Limited Partnership
JXDX,IE,Societas Europaea
KMFX,IE,Private Unlimited Company
LGWG,IE,Designated Activity Company (DAC) – (limited byshares)
LMIM,IE,Limited company
LZIC,IE,Investment Limited Partnership
MNQ7,IE,Private Company Limited by Shares (LTD company)
URQH,IE,Public Unlimited Company
ZJS8,IE,Industrial and Provident Society
VYAX,IE,Public Limited Company
5AX8,IE,Cuideachta Ghníomhaíochta Ainmnithe
C58S,IE,Cuideachta faoi Theorainn Ráthaíochta
FF1D,IE,Cuideachta Neamhtheoranta
KMFX,IE,Cuideachta Neamhtheoranta
LGWG,IE,Cuideachta Ghníomhaíochta Ainmnithe
LMIM,IE,Teoranta
LZIC,IE,comhpháirtíocht theoranta infheistíochta
MNQ7,IE,Teoranta
URQH,IE,Cuideachta Neamhtheoranta
VYAX,IE,Cuideachta Phoiblí Theoranta
1G26,IM,Public Limited by Guarantee and not having a ShareCapital (1931 Act)
5ABK,IM,Unlimited with Shares (2006 Act)
CDXK,IM,Limited Liability Company
EMLA,IM,Limited Partnership - without Legal Personality
FI4M,IM,Industrial and Building Society
FMPL,IM,Private Limited by Guarantee and not having aShare Capital (1931 Act)
G4V6,IM,Public Unlimited and having a Share Capital (1931Act)
JHC4,IM,Foundation
M44Y,IM,Limited by Shares and by Guarantee (2006 Act)
OESH,IM,Public Limited by Guarantee and having a ShareCapital (1931 Act)
QZTT,IM,Private Limited by shares (1931 Act)
SAI8,IM,Private Unlimited and having a Share Capital (1931Act)
SP9F,IM,Limited by Guarantee (2006 Act)
TE79,IM,Limited Partnership - with Legal Personality
TQ3Z,IM,Limited by Shares (2006 Act)
TV5P,IM,Unlimited without Shares (2006 Act)
VC3E,IM,Private Limited by Guarantee and having a ShareCapital (1931 Act)
ZGPY,IM,Public Limited by Shares (1931 Act)
135L,IT,Societa' Costituita In Base A Leggi Di Altro Stato
2SZI,IT,Ente Sociale
2XXH,IT,Societa' Semplice
5ODO,IT,Ente Diritto Pubblico
634M,IT,Gruppo Europeo Di Interesse Economico
70X0,IT,Fondazione Impresa
8GU1,IT,Societa' A Responsabilita' Limitata Semplificata
9KGS,IT,Societa' Cooperativa Europea
BL52,IT,Societa' Consortile A Responsabilita' Limitata
DCRK,IT,Consorzio Fidi
DSSD,IT,Azienda Autonoma Statale
HN75,IT,Consorzio
K021,IT,Contratto Di Rete Dotato Di Soggettivita' Giuridica
KCHO,IT,Azienda Speciale Di Cui Al Dlgs 267/2000
KCSG,IT,Ente Impresa
LHBB,IT,Impresa Individuale
LZZD,IT,Societa' Consortile Per Azioni
NDEW,IT,Societa' Consortile Cooperativa
OV32,IT,Societa' A Responsabilita' Limitata
P418,IT,Societa' Per Azioni
QRZJ,IT,Societa' Cooperativa
T2X1,IT,Societa' In Nome Collettivo
VA1V,IT,Societa' Di Mutuo Soccorso
VDRB,IT,Consorzio Municipale
VUPE,IT,Societa' Europea
W9SC,IT,Mutua Assicurazione
X62Z,IT,Consorzio Di Cui Alla Dlgs 267/2000
ZG6S,IT,Ente Pubblico Economico
ZZOG,IT,Societa' Tra Professionisti
21F4,JE,Separate Limited Partnerships
33IP,JE,Incorporated Limited Partnerships
40A7,JE,Foundation
7RZH,JE,Limited Liability Partnership
JOX1,JE,Public Limited Company
LO9A,JE,Private Limited by Guarantee
SQXV,JE,Private Limited Company
UBWU,JE,Limited Partnership
1IPK,LV,Komandītsabiedrība
3LCY,LV,Pilnsabiedrība
AZTM,LV,Eiropas komercsabiedrība
BS22,LV,Individuālais komersants
ES2D,LV,Sabiedrība ar ierobežotu atbildību
VJBO,LV,Akciju sabiedrība
1DGT,LI,Treuunternehmen
1SOY,LI,Europäische Genossenschaft
32HC,LI,Verein
7RRP,LI,Aktiengesellschaft
ANSR,LI,Kommanditgesellschaft
BSZ8,LI,Stiftung
IF49,LI,Genossenschaft
K98U,LI,Europäische Wirtschaftliche Interessenvereinigung
NDID,LI,Kollektivgesellschaft
TMU1,LI,Anstalt
WAK8,LI,Europäische Gesellschaft
Y8LH,LI,Gesellschaft mit beschränkter Haftung
13T9,LT,Europos bendrovės
4ZF3,LT,Valstybės įmonės
5BY2,LT,Europos kooperatinės bendrovės
5CIE,LT,Advokatų profesinės bendrijos
5TA8,LT,Šeimynos
6JDN,LT,Profesinės sąjungos ir jų susivienijimai
81KA,LT,Akcinės bendrovės
A2GC,LT,"Religines bendruomenes, bendrijos ir centrai"
A338,LT,Individualios įmonės
BGPJ,LT,Europos ekonominių interesų grupės
BPLS,LT,Uždarosios akcinės bendrovės
DLCX,LT,Tikrosios ūkinės bendrijos
E4HU,LT,"Lietuvos prekybos, pramonės ir amatų rūmųasociacija"
F2TQ,LT,Tradicinės religinės bendruomenės ar bendrijos
F2ZF,LT,Asociacijos
HGMH,LT,Labdaros ir paramos fondai
HJ1Y,LT,Bendrijos
K4GR,LT,Biudžetinės įstaigos
KWBA,LT,Viešosios įstaigos
LUGM,LT,Kooperatinės bendrovės (kooperatyvai)
LUOA,LT,Komanditinės ūkinės bendrijos
NVPY,LT,Privačių detektyvų bendrijos
Q4A3,LT,"Prekybos, pramonės ir amatų rūmai"
Q8UI,LT,Nuolatinės arbitražo institucijos
QG9Y,LT,Sodininkų bendrijos
QRXD,LT,Europos teritorinio bendradarbiavimo grupės
SFK9,LT,Bendras valdymo ir pranešimų centras
SFYA,LT,Mažosios bendrijos
UHNL,LT,Žemės ūkio bendrovės
WQRG,LT,Centrinis bankas
X8J8,LT,Politinės partijos
YRXK,LT,Savivaldybių įmonės
2IGL,LU,Entreprise individuelle
2JEI,LU,Association sans but lucratif
2S2U,LU,Association d'épargne pension
5DWL,LU,Association momentanée
5GGB,LU,Société anonyme
63P9,LU,Société en commandite simple
68J6,LU,Association agricole
81G5,LU,Société en commandite par actions
9C91,LU,Société d’épargne-pension à capital variable
ATQY,LU,Société en nom collectif
BEAN,LU,Société d'investissement à capital fixe
BKAB,LU,Association d'assurances mutuelles
DVXS,LU,Société à responsabilité limitée
JIWD,LU,Autres personnes morales dont l'immatriculationest prévue par l'article 1 de la loi modifiée du 19décembre 2002 concernant le registre decommerce et des sociétésdes entreprises
LCR0,LU,Groupement d'intérêt économique
SQ1A,LU,Société civile
U8KA,LU,Société en commandite spéciale
UDY2,LU,Société d'investissement à capital variable
V19Y,LU,Fondation
V5OS,LU,Société coopérative
WCEP,LU,société européenne
ZFFA,LU,Etablissement public
BVJ0,MT,Partnership en commendite or limited partnership
C061,MT,Public Limited Liability Company
CR7N,MT,European Company
JOZN,MT,Partnership en nom collectif
V89C,MT,Private Limited Liability Company
YB0U,MT,European Economic Interest Grouping
BVJ0,MT,Soċjetà in akkomandita jew soċjetà limitata
C061,MT,kumpanija pubblika
CR7N,MT,Societas Europaea
JOZN,MT,soċjetà f’isem kollettiv
V89C,MT,kumpanija privata
4AJY,MU,Business
6M6Z,MU,Public Companies Limited By Guarantee
AOS4,MU,Private Companies Limited By Guarantee
B0LD,MU,Ministries And Parastal Bodies
BVPF,MU,Cooperatives
G7H0,MU,Private Companies
J76S,MU,Limited Partnerships
JWWT,MU,Foundations
RJYT,MU,Trade Unions
RTVE,MU,Limited Liability Partnerships
S2J1,MU,Others
XXCZ,MU,Public Companies
ZTUI,MU,Associations
O786,MU,Société
33MN,NL,vereniging
4QXM,NL,eenmanszaak
54M6,NL,besloten vennootschap met beperkteaansprakelijkheid
5WU6,NL,Europees Economisch Samenwerkingsverband
62Y3,NL,vennootschap onder firma
9AAK,NL,maatschap
A0W7,NL,publiekrechtelijke rechtspersoon
B5PM,NL,naamloze vennootschap
BBEB,NL,Europese naamloze vennootschap (SocietasEuropaea)
CODH,NL,commanditaire vennootschap
DEO1,NL,onderlinge waarborgmaatschappij
EZQW,NL,rechtspersoon in oprichting
GNXT,NL,vereniging van eigenaars
JHK5,NL,fonds voor gemene rekening
L7HX,NL,kerkgenootschap
NFFH,NL,coöperatie
UNJ2,NL,rederij
V44D,NL,stichting
Y3ZB,NL,Societas Cooperativa Europaea
4LEA,NZ,Unlimited Liability Company
F7KI,NZ,Limited Partnership
P2R9,NZ,Limited Liability Company
Z6ZU,NZ,Cooperative Company
326Y,NO,Ansvarlig selskap
3C7U,NO,Stiftelse
3L58,NO,Kommunalt foretak
4ZRR,NO,Norskregistrert utenlandsk foretak
50TD,NO,Statsforetak
5ZTZ,NO,Fylkeskommunalt foretak
8S9H,NO,Gjensidig forsikringsselskap
9DI1,NO,Boligbyggelag
AEV1,NO,Partsrederi
BJ65,NO,Pensjonskasse
CF5L,NO,"Ansvarlig selskap, delt ansvar"
DRPL,NO,Europeisk økonomisk foretaksgruppe
EXD7,NO,Enkeltpersonforetak
FSBD,NO,Forening/lag/innretning (eller bare forening?)
GYY6,NO,Annen juridisk person
IQGE,NO,Allmennaksjeselskap
K5P8,NO,Samvirkeforetak
LJJW,NO,Verdipapirfond
M9IQ,NO,Kommandittselskap
O0EU,NO,Borettslag
O7LB,NO,Europeisk samvirkeforetak
PB3V,NO,Konkursbo
Q0Q1,NO,Selskap med begrenset ansvar
R71C,NO,Sparebank
V06W,NO,Europeisk selskap
YI42,NO,Aksjeselskap
YTMC,NO,Interkommunalt selskap
ZQ0Q,NO,Eierseksjonssameie
4XMS,PK,Private Limited Company(multi member)
7IYW,PK,Company Limited by Guarantee( having sharecapital)
88OX,PK,Private Limited Company(Single member)
QR25,PK,Company Limited by Guarantee( without sharecapital)
RKYF,PK,Public Limited Company(unlisted)
VQV6,PK,Public Limited Company (listed)
XBK3,PK,Limited Liability Partnership
LH0Q,PK,Unlimited Company
MOI8,PK,Public Limited Company(not-for profit association)
13ZV,PL,samodzielne publiczne zakłady opieki zdrowotnej
3BJG,PL,spółki partnerskie
5F76,PL,"cechy i izby rzemieślnicze, izby gospodarcze"
60BG,PL,"organy władzy, administracji rządowej, kontrolipaństwowej i ochrony prawa oraz sądy i trybunały"
629I,PL,spółki jawne
6LUM,PL,główny oddział zagranicznego zakładu reasekuracji
6OYI,PL,zrzeszenia
8TOF,PL,spółdzielnie
96XK,PL,fundacje
AL9T,PL,samorządowe jednostki organizacyjne
BSJT,PL,spółki komandytowe
CY1M,PL,instytucje gospodarki budżetowej
EU0T,PL,towarzystwa reasekuracji wzajemnej
F21U,PL,Skarb Państwa
FANM,PL,kółka rolnicze
FJ0E,PL,spółki akcyjne
FQ5Y,PL,organizacje społeczne i zawodowe
GZE5,PL,wspólnoty mieszkaniowe
H7OD,PL,spółdzielcze kasy oszczędnościowo-kredytowe
HOT8,PL,partie polityczne
J3A3,PL,spółka europejska
JCKO,PL,państwowe jednostki organizacyjne
KM66,PL,instytuty badawcze
LT9U,PL,związki zawodowe
O7XB,PL,spółki z ograniczoną odpowiedzialnością
OMX0,PL,spółki komandytowo - akcyjne
P1L1,PL,główny oddział zagranicznego zakładu ubezpieczeń
QUX1,PL,otwarte fundusze emerytalne
QYL4,PL,placówki systemu oświaty
RBHP,PL,fundusze inwestycyjne
RUCO,PL,oddział przedsiębiorcy zagranicznego
SMIS,PL,przedsiębiorstwa państwowe
SP4S,PL,kościoły i związki wyznaniowe
SVA3,PL,fundusze inne niż inwestycyjne i inne niż otwartefundusze emerytalne
T7PB,PL,wspólnoty samorządowe
WNX1,PL,towarzystwa ubezpieczeń wzajemnych
WOK7,PL,związki inne niż zawodowe
WUJ2,PL,uczelnie
YLZL,PL,spółki cywilne
ZVVM,PL,osoby fizyczne prowadzące działalność gospodarczą
ZZKE,PL,stowarzyszenia i związki stowarzyszeń
IKBN,PT,Trust
Z7ZX,PT,Sucursal Financeira Exterior
1HGD,PT,Cooperativa
5KVH,PT,Cooperativa de 2o Grau
68PD,PT,Representação Permanente
6IK8,PT,Entidade Empresarial Intermunicipal
6L6P,PT,Fundo
99JD,PT,Agrupamento Europeu de Interesse Económico
A8CT,PT,Entidade Pública Empresarial
ALPT,PT,Associação
D7OA,PT,Entidade Empresarial Municipal
DFE5,PT,Sociedade Anónima
IX01,PT,Empresa Intermunicipal
KUUV,PT,Organismo da Administração Pública
MFHR,PT,Sociedade Anónima Europeia
N66B,PT,Sociedade em Nome Coletivo
NIQY,PT,Entidade Empresarial Metropolitana
OXUC,PT,Sociedade em Comandita
P5S3,PT,Pessoa Coletiva de Direito Público
PIDC,PT,Empresa Municipal
QFXD,PT,Pessoa Coletiva Internacional
USOG,PT,Sociedade por Quotas
VF4C,PT,Sociedade Unipessoal por Quotas
W9W3,PT,Sociedade Anónima Desportiva
XD16,PT,Empresa Metropolitana
XMXM,PT,Fundo
YMLD,PT,Agrupamento Complementar de Empresas
Z0NE,PT,Fundação
ZILA,PT,Estabelecimento Individual de ResponsabilidadeLimitada
ZSWE,PT,Empresa Regional
149O,MK,Komanditno drustvo so akcii
DTIU,MK,Akcionersko drustvo
HEXO,MK,Javno trgovsko pretprijatie
JCK1,MK,Stopanska interesna zaednica
KHAB,MK,Drustvo so ogranicena odgvornost
KXDY,MK,"Podruznica na stransko trgovsko drustvo, odnosnona stranski trgovec poedinec"
VPFY,MK,Trgovec poedinec
XH7Z,MK,Komanditno drustvo
1CDX,RO,Societate europeană
37II,RO,Cooperativă meșteșugărească
4V0A,RO,Grupul european de interes economic
5NCK,RO,Organizație non-guvernamentală
7B9H,RO,Societate cooperativă
